protocol_version,country_code,iso3,country,mother_sample_55,network_primary_covered,time_core31_flag,resource_period,research_activity_fractional,research_activity_state,research_activity_pct_layer55,research_activity_pct_common39,research_activity_ai_works_sens,research_activity_ai_works_pct_layer55_sens,research_activity_ai_works_pct_common39_sens,technical_snapshot_date,technical_inverse_ubiquity_weighted_degree,technical_state,technical_pct_common39,technical_raw_shared_asn_degree_sens,ixp_count_aux,unique_member_asns_aux,technical_missing_reason,knowledge_period,knowledge_fractional_weighted_degree,knowledge_state,knowledge_pct_layer55,knowledge_pct_common39,knowledge_partner_count_aux,tech_knowledge_signed_gap_common39,tech_knowledge_abs_gap_common39,main_figure_sort_order
v1.0,EG,EGY,Egypt,1,1,1,current_2021_2025,3723.556252877528,Observed positive,100,100,5454,100,100,2026-07-15,12,Observed positive,76.3157894736842,86,3,38,,current_2021_2025,75.04232275969908,Observed positive,92.5925925925926,89.47368421052632,23,-13.15789473684211,13.15789473684211,1
v1.0,MA,MAR,Morocco,1,1,1,current_2021_2025,2902.01599520753,Observed positive,98.14814814814815,97.36842105263158,3474,98.14814814814815,97.36842105263158,2026-07-15,1.9999999999999987,Observed positive,17.105263157894736,62,2,6,,current_2021_2025,77.51821722338964,Observed positive,94.44444444444444,92.10526315789474,22,-75,75,2
v1.0,NG,NGA,Nigeria,1,1,1,current_2021_2025,2666.793105727726,Observed positive,96.29629629629629,94.73684210526316,3380,96.29629629629629,94.73684210526316,2026-07-15,64.99999999999999,Observed positive,97.36842105263158,250,6,153,,current_2021_2025,213.3096053137463,Observed positive,98.14814814814815,97.36842105263158,36,0,0,3
v1.0,ZA,ZAF,South Africa,1,1,1,current_2021_2025,1902.538283882895,Observed positive,94.44444444444444,92.10526315789474,2806,94.44444444444444,92.10526315789474,2026-07-15,100,Observed positive,100,301,12,635,,current_2021_2025,222.74923921489133,Observed positive,100,100,33,0,0,4
v1.0,DZ,DZA,Algeria,1,0,0,current_2021_2025,1768.5877705627672,Observed positive,92.5925925925926,,2375,92.5925925925926,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,60.8616883116883,Observed positive,88.88888888888889,,19,,,5
v1.0,TN,TUN,Tunisia,1,1,1,current_2021_2025,1242.1093362193385,Observed positive,90.74074074074075,89.47368421052632,1846,90.74074074074075,89.47368421052632,2026-07-15,3.9999999999999982,Observed positive,36.8421052631579,88,1,4,,current_2021_2025,67.04406926406926,Observed positive,90.74074074074075,86.84210526315789,17,-49.99999999999999,49.99999999999999,6
v1.0,ET,ETH,Ethiopia,1,1,0,current_2021_2025,615.503603749192,Observed positive,88.88888888888889,86.84210526315789,927,88.88888888888889,86.84210526315789,2026-07-15,0,Observed zero,2.6315789473684212,0,1,3,,current_2021_2025,32.890847877612586,Observed positive,79.62962962962963,73.6842105263158,25,-71.05263157894737,71.05263157894737,7
v1.0,GH,GHA,Ghana,1,1,1,current_2021_2025,479.2877747252742,Observed positive,87.03703703703704,84.21052631578948,719,87.03703703703704,84.21052631578948,2026-07-15,26.000000000000007,Observed positive,92.10526315789474,136,3,39,,current_2021_2025,79.04664014146772,Observed positive,96.29629629629629,94.73684210526316,25,-2.631578947368425,2.631578947368425,8
v1.0,KE,KEN,Kenya,1,1,1,current_2021_2025,455.7142607392605,Observed positive,85.18518518518519,81.57894736842105,596,85.18518518518519,81.57894736842105,2026-07-15,62.99999999999999,Observed positive,94.73684210526316,247,8,171,,current_2021_2025,47.64971694971694,Observed positive,85.18518518518519,81.57894736842105,19,13.15789473684211,13.15789473684211,9
v1.0,CM,CMR,Cameroon,1,1,1,current_2021_2025,309.6651727357609,Observed positive,83.33333333333333,78.94736842105263,458,83.33333333333333,78.94736842105263,2026-07-15,7.000000000000001,Observed positive,60.526315789473685,100,3,17,,current_2021_2025,55.3078197945845,Observed positive,87.03703703703704,84.21052631578948,29,-23.684210526315795,23.684210526315795,10
