source_retrieval_date,membership_reference_date,rec,iso2,iso3,country,source_url
2026-07-15,2025-12-31,AMU,DZ,DZA,Algeria,https://maghrebarabe.org/en/member-countries/
2026-07-15,2025-12-31,AMU,LY,LBY,Libya,https://maghrebarabe.org/en/member-countries/
2026-07-15,2025-12-31,AMU,MR,MRT,Mauritania,https://maghrebarabe.org/en/member-countries/
2026-07-15,2025-12-31,AMU,MA,MAR,Morocco,https://maghrebarabe.org/en/member-countries/
2026-07-15,2025-12-31,AMU,TN,TUN,Tunisia,https://maghrebarabe.org/en/member-countries/
2026-07-15,2025-12-31,CEN-SAD,BJ,BEN,Benin,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,BF,BFA,Burkina Faso,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,CF,CAF,Central African Republic,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,TD,TCD,Chad,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,KM,COM,Comoros,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,CI,CIV,Cote d'Ivoire,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,DJ,DJI,Djibouti,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,EG,EGY,Egypt,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,ER,ERI,Eritrea,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,GM,GMB,Gambia,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,GH,GHA,Ghana,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,GN,GIN,Guinea,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,GW,GNB,Guinea-Bissau,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,LY,LBY,Libya,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,ML,MLI,Mali,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,MR,MRT,Mauritania,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,MA,MAR,Morocco,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,NE,NER,Niger,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,NG,NGA,Nigeria,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,SN,SEN,Senegal,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,SL,SLE,Sierra Leone,https://censad.int/en/who-are-we/member-states/
2026-07-15,2025-12-31,CEN-SAD,SO,SOM,Somalia,https://censad.int/en/who-are-we/member-states/
