openalex_snapshot_date,peeringdb_rec_snapshot_date,period,iso_i,iso_j,association_strength,log1p_association_strength,knowledge_edge_present,inverse_ubiquity_weighted_shared_asns,shared_asn_count,shared_rec_any,shared_rec_count,shared_recs,shared_rec_any_2021,shared_rec_count_2021,shared_recs_2021,rec_tie_changed_2021_to_2025,distance_capital_km,contiguous_border,common_official_language,member_asn_geometric_mean,gdp_geometric_mean,log_member_asn_geometric_mean
2026-07-14,2026-07-15,current_2021_2025,AO,BJ,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,2064.176025390625,0,0,12.041594578792296,54785032238.95834,2.488366871210287
2026-07-14,2026-07-15,current_2021_2025,AO,BW,0.0,0.0,0,0,0,1,1,SADC,1,1,SADC,0,2223.577880859375,0,0,5.385164807134504,49343285467.88965,1.6836479149932368
2026-07-14,2026-07-15,current_2021_2025,AO,BF,0.0,0.0,0,0.17562724014336917,3,0,0,,0,0,,0,2876.135498046875,0,0,21.540659228538015,58097865816.31386,3.0699422761131276
2026-07-14,2026-07-15,current_2021_2025,AO,BI,0.0,0.0,0,0.17562724014336917,3,1,1,ECCAS,1,1,ECCAS,0,1878.576416015625,0,0,16.15549442140351,20275195295.896458,2.7822602036613464
2026-07-14,2026-07-15,current_2021_2025,AO,CV,,,0,0,0,0,0,,0,0,,0,4839.97412109375,0,1,12.041594578792296,19324685908.04787,2.488366871210287
2026-07-14,2026-07-15,current_2021_2025,AO,CM,0.0,0.0,0,0.06451612903225806,2,1,1,ECCAS,1,1,ECCAS,0,1424.687744140625,0,0,22.20360331117452,84853922811.43158,3.100254587021345
2026-07-14,2026-07-15,current_2021_2025,AO,TD,0.0,0.0,0,0.06451612903225806,2,1,1,ECCAS,1,1,ECCAS,0,2345.13525390625,0,0,16.15549442140351,51219539916.708626,2.7822602036613464
2026-07-14,2026-07-15,current_2021_2025,AO,CG,0.0,0.0,0,0.06451612903225806,2,1,1,ECCAS,1,1,ECCAS,0,556.9466552734375,0,0,16.15549442140351,44634753038.3257,2.7822602036613464
2026-07-14,2026-07-15,current_2021_2025,AO,CD,0.0,0.0,0,0.4851510496671787,5,1,2,ECCAS|SADC,1,2,ECCAS|SADC,0,553.1064453125,1,0,29.49576240750525,105459210587.92558,3.384246605824315
2026-07-14,2026-07-15,current_2021_2025,AO,CI,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,2694.583984375,0,0,20.149441679609886,110407532038.90001,3.0031765798008663
2026-07-14,2026-07-15,current_2021_2025,AO,DJ,0.0,0.0,0,0.8240399385560676,6,0,0,,0,0,,0,4015.183837890625,0,0,24.08318915758459,23769766914.927826,3.1815140517702325
2026-07-14,2026-07-15,current_2021_2025,AO,EG,0.0,0.0,0,0.31451612903225806,3,0,0,,0,0,,0,4736.951171875,0,0,33.19638534539566,211246169323.09106,3.5024409948564297
2026-07-14,2026-07-15,current_2021_2025,AO,ET,0.0,0.0,0,0,0,0,0,,0,0,,0,3464.567138671875,0,0,9.327379053088816,124249214649.97556,2.232954059327292
2026-07-14,2026-07-15,current_2021_2025,AO,GA,0.0,0.0,0,0.06451612903225806,2,1,1,ECCAS,1,1,ECCAS,0,1110.3707275390625,0,0,15.231546211727817,51164987383.83825,2.723368685833155
2026-07-14,2026-07-15,current_2021_2025,AO,GM,0.0,0.0,0,0,0,0,0,,0,0,,0,4132.18603515625,0,0,7.615773105863909,17801175035.030975,2.0302215052732095
2026-07-14,2026-07-15,current_2021_2025,AO,GH,17.05303242620608,2.8933136721200867,1,0.6518177163338453,5,0,0,,0,0,,0,2192.39453125,0,0,33.63034344160047,118125283273.7813,3.51542873805806
2026-07-14,2026-07-15,current_2021_2025,AO,GN,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,3804.64892578125,0,0,10.770329614269007,58848725048.49293,2.3767950955531822
2026-07-14,2026-07-15,current_2021_2025,AO,KE,0.0,0.0,0,1.3518177163338454,9,0,0,,0,0,,0,2744.311279296875,0,0,70.42016756583301,128874398990.36096,4.2544796932445665
2026-07-14,2026-07-15,current_2021_2025,AO,LS,0.0,0.0,0,0,0,1,1,SADC,1,1,SADC,0,2721.22412109375,0,0,9.327379053088816,17732060989.376404,2.232954059327292
2026-07-14,2026-07-15,current_2021_2025,AO,MG,0.0,0.0,0,0.06451612903225806,2,1,1,SADC,1,1,SADC,0,3857.427734375,0,0,12.041594578792296,48960334357.77806,2.488366871210287
2026-07-14,2026-07-15,current_2021_2025,AO,MW,0.0,0.0,0,0.06451612903225806,2,1,1,SADC,1,1,SADC,0,2314.20654296875,0,0,18.65475810617763,42692374096.62714,2.9261012398872372
2026-07-14,2026-07-15,current_2021_2025,AO,ML,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,3352.42919921875,0,0,12.041594578792296,60611013049.76084,2.488366871210287
2026-07-14,2026-07-15,current_2021_2025,AO,MU,0.0,0.0,0,0.2645161290322581,3,1,1,SADC,1,1,SADC,0,4915.37158203125,0,0,24.677925358506133,44430597307.59493,3.2059091338549486
2026-07-14,2026-07-15,current_2021_2025,AO,MA,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,5221.76220703125,0,0,13.19090595827292,149270070349.93185,2.5795276496072646
2026-07-14,2026-07-15,current_2021_2025,AO,MZ,0.0,0.0,0,0.37403993855606754,4,1,1,SADC,1,1,SADC,0,2794.27685546875,0,1,22.847319317591726,52241193698.68865,3.1288337939413196
