event_year,event_type,candidate_dyads,t1_compatible_risk_n,same_year_t_positive_n,t1_compatible_positive_n,t1_compatible_rate,t1_positives_already_positive_at_t_n,t2_available,t1_compatible_two_year_cumulative_n,t1_compatible_two_year_cumulative_rate,strict_risk_n,strict_one_year_positive_n,strict_one_year_rate,strict_two_year_cumulative_n,strict_two_year_cumulative_rate
2019,entry,3,3,0,1,0.3333333333333333,0,1,1,0.3333333333333333,3,1,0.3333333333333333,1,0.3333333333333333
2019,stable_zero,89,78,0,0,0.0,0,1,1,0.01282051282051282,78,0,0.0,1,0.01282051282051282
2019,combined,92,81,0,1,0.012345679012345678,0,1,2,0.024691358024691357,81,1,0.012345679012345678,2,0.024691358024691357
2020,entry,30,28,3,3,0.10714285714285714,2,1,3,0.10714285714285714,25,1,0.04,1,0.04
2020,stable_zero,199,174,7,5,0.028735632183908046,1,1,12,0.06896551724137931,167,4,0.023952095808383235,10,0.059880239520958084
2020,combined,229,202,10,8,0.039603960396039604,3,1,15,0.07425742574257425,192,5,0.026041666666666668,11,0.057291666666666664
2021,entry,14,13,0,2,0.15384615384615385,0,1,2,0.15384615384615385,13,2,0.15384615384615385,2,0.15384615384615385
2021,stable_zero,186,165,5,4,0.024242424242424242,0,1,11,0.06666666666666667,160,4,0.025,9,0.05625
2021,combined,200,178,5,6,0.033707865168539325,0,1,13,0.07303370786516854,173,6,0.03468208092485549,11,0.06358381502890173
2022,entry,77,63,5,6,0.09523809523809523,2,1,11,0.1746031746031746,58,4,0.06896551724137931,7,0.1206896551724138
2022,stable_zero,115,107,1,3,0.028037383177570093,0,1,6,0.056074766355140186,106,3,0.02830188679245283,6,0.05660377358490566
2022,combined,192,170,6,9,0.052941176470588235,2,1,17,0.1,164,7,0.042682926829268296,13,0.07926829268292683
2023,entry,27,25,1,1,0.04,1,1,6,0.24,24,0,0.0,5,0.20833333333333334
2023,stable_zero,88,84,2,4,0.047619047619047616,0,1,5,0.05952380952380952,82,4,0.04878048780487805,4,0.04878048780487805
2023,combined,115,109,3,5,0.045871559633027525,1,1,11,0.10091743119266056,106,4,0.03773584905660377,9,0.08490566037735849
2024,entry,44,39,2,1,0.02564102564102564,1,0,,,37,0,0.0,,
2024,stable_zero,16,16,0,0,0.0,0,0,,,16,0,0.0,,
2024,combined,60,55,2,1,0.01818181818181818,1,0,,,53,0,0.0,,
