file,sha256
docs\METHODOLOGICAL_AUDIT_IMPLEMENTATION.md,A4BE007963D99E58CCBD521BCCC0277138A692D1052F4EDDEB243A5EB425C90E
docs\METHODOLOGICAL_AUDIT_VERIFICATION.md,9C7AD22E2CBD8482193E13505B0C5C471F751A69CFE04A4BA3DB366F4E4FD5CC
docs\METHODOLOGICAL_AUDIT_TEST_RESULTS.csv,A3415B274DD8AB397133CF96A703C645D5F9FFEA436217FEA782C9652FDF53F4
outputs\africa_ai_methodological_corrections_20260716\country_metric\country_shared_asn_participation_verification.csv,5A00F6FE50A1692C5261268CD31AEB0ADB191EBF947C141DC08E9F707FAC2665
outputs\africa_ai_methodological_corrections_20260716\country_metric\country_three_layer_positions_v1.2.csv,54C10BBD830793E13D31160C6FE156683650DF5E0095D44DBCB45054FEA42DD9
outputs\africa_ai_methodological_corrections_20260716\country_metric\country_metric_verification_summary.json,B87B652F0AB5A5F8E0BC9019703B7873F024791634ABDBBBD56C8F2281E9DB51
outputs\africa_ai_methodological_corrections_20260716\null_model\corrected_degree_preserving_null_results.csv,6DD03CFBE001DBDD199FACD077A333C72722E8BEBF5016B93D6E5CB279017628
outputs\africa_ai_methodological_corrections_20260716\null_model\corrected_null_diagnostics.json,D8B43506FDA53CF4299EBA2F282C32814F736E1E3C59FD65FC1F7868F52B34D7
outputs\africa_ai_methodological_corrections_20260716\null_model\old_vs_new_null_results.csv,9C16B13B03538312660C4EF019A10CD064A78A13E8D37B907648369BC9A93B43
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\15_abstract_title\Full_Manuscript_v1.2.md,70CF4E1209ED1C18DB5142271B721B30E981EC89A90199F83DDD6AAAEF301F72
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\15_abstract_title\Abstract_and_Policy_Significance_v1.2.md,10737F1966D59A3B3329FC2B7EDF53999573345FB621834A8C8E83AA0E0C9F67
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\15_abstract_title\Final_Title_Decision_v1.2.md,CB0FEBEF01E97550ABCF4CA76CC1295BC6FA203E59D1EAEDDA847CD61E614360
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\00_charter_and_logs\GLOBAL_MANUSCRIPT_RULES_v1.2.md,39833917741D975EB9BAB7381C541D5233EAACFB4453AA9CC13935D64B76AB5E
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\15_abstract_title\assets_v1.2\Table_3_regional_structure_v1.2.csv,4A6A065C9AF3DB816A8393FEF2F8A6B53BD45E8E60784389EFBF3605108EF733
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\15_abstract_title\assets_v1.2\Table_S1_technical_knowledge_gap.csv,141ECBF819CBB0108E9514176A5C41402152D44B7D04C9A21A10560E4CA9C216
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\15_abstract_title\assets_v1.2\Table_S4_temporal_cohorts.csv,4C1E2199E6AFAEC525537A14A74FEBA5B9DA1646F117F280E0915DC90A948CA6
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\15_abstract_title\assets_v1.2\Figure_2_observed_null_ratio_v1.2.png,2348371D7F33BA1FB0F4338C396B64EF62C4560971A96C6D328A038A3FABFC2C
outputs\africa_ai_phase9_manuscript_plan_20260715\manuscript\15_abstract_title\assets_v1.2\Figure_2_observed_null_ratio_v1.2.pdf,B86C5048A1E7BA97D5169EFB34649886AB255D874A848BE10D277D9C5141F921
