country_code,country,network_primary_covered,original_computed_weighted_degree,derived_asn_participation_count,absolute_difference,equality_check_status
EG,Egypt,1,12,12,0,PASS
MA,Morocco,1,1.9999999999999987,2,1.3322676295501878e-15,PASS
NG,Nigeria,1,64.999999999999986,65,1.4210854715202004e-14,PASS
ZA,South Africa,1,100,100,0,PASS
DZ,Algeria,0,,,,NOT_APPLICABLE
TN,Tunisia,1,3.9999999999999982,4,1.7763568394002505e-15,PASS
ET,Ethiopia,1,0,0,0,PASS
GH,Ghana,1,26.000000000000007,26,7.1054273576010019e-15,PASS
KE,Kenya,1,62.999999999999993,63,7.1054273576010019e-15,PASS
CM,Cameroon,1,7.0000000000000009,7,8.8817841970012523e-16,PASS
LY,Libya,0,,,,NOT_APPLICABLE
TZ,Tanzania,1,14,14,0,PASS
SS,South Sudan,0,,,,NOT_APPLICABLE
UG,Uganda,1,13.999999999999998,14,1.7763568394002505e-15,PASS
SD,Sudan,1,2.9999999999999987,3,1.3322676295501878e-15,PASS
BI,Burundi,1,3.9999999999999991,4,8.8817841970012523e-16,PASS
RW,Rwanda,1,10,10,0,PASS
SN,Senegal,1,1.9999999999999987,2,1.3322676295501878e-15,PASS
ZW,Zimbabwe,1,1.9999999999999996,2,4.4408920985006262e-16,PASS
ZM,Zambia,1,6.9999999999999991,7,8.8817841970012523e-16,PASS
BW,Botswana,1,1,1,0,PASS
MU,Mauritius,1,15.999999999999996,16,3.5527136788005009e-15,PASS
CD,Democratic Republic of the Congo,1,11,11,0,PASS
BF,Burkina Faso,1,9.9999999999999982,10,1.7763568394002505e-15,PASS
MW,Malawi,1,3.9999999999999987,4,1.3322676295501878e-15,PASS
NA,Namibia,1,4.9999999999999991,5,8.8817841970012523e-16,PASS
BJ,Benin,1,1.9999999999999987,2,1.3322676295501878e-15,PASS
CI,Cote d'Ivoire,1,9,9,0,PASS
MG,Madagascar,1,5.0000000000000009,5,8.8817841970012523e-16,PASS
MZ,Mozambique,1,10.999999999999998,11,1.7763568394002505e-15,PASS
SO,Somalia,0,,,,NOT_APPLICABLE
MR,Mauritania,0,,,,NOT_APPLICABLE
NE,Niger,0,,,,NOT_APPLICABLE
ML,Mali,1,2.9999999999999987,3,1.3322676295501878e-15,PASS
CG,Republic of the Congo,1,3.9999999999999991,4,8.8817841970012523e-16,PASS
AO,Angola,1,13.999999999999998,14,1.7763568394002505e-15,PASS
GM,Gambia,1,0,0,0,PASS
TD,Chad,1,2.9999999999999987,3,1.3322676295501878e-15,PASS
SL,Sierra Leone,1,1,1,0,PASS
TG,Togo,1,3.9999999999999991,4,8.8817841970012523e-16,PASS
LR,Liberia,0,,,,NOT_APPLICABLE
SZ,Eswatini,0,,,,NOT_APPLICABLE
GA,Gabon,1,3.9999999999999987,4,1.3322676295501878e-15,PASS
LS,Lesotho,1,2,2,0,PASS
GN,Guinea,1,1.9999999999999987,2,1.3322676295501878e-15,PASS
CF,Central African Republic,0,,,,NOT_APPLICABLE
ER,Eritrea,0,,,,NOT_APPLICABLE
CV,Cabo Verde,1,0,0,0,PASS
SC,Seychelles,0,,,,NOT_APPLICABLE
DJ,Djibouti,1,14.999999999999996,15,3.5527136788005009e-15,PASS
ST,Sao Tome and Principe,0,,,,NOT_APPLICABLE
GW,Guinea-Bissau,0,,,,NOT_APPLICABLE
EH,Sahrawi Arab Democratic Republic / Western Sahara,0,,,,NOT_APPLICABLE
GQ,Equatorial Guinea,0,,,,NOT_APPLICABLE
KM,Comoros,0,,,,NOT_APPLICABLE
