omitted_iso2,country,n_countries,n_dyads,coefficient,standardized_effect,ols_se,observed_t,permutation_p_two_sided_plus1,delta_coefficient_from_full,delta_standardized_effect_from_full,same_positive_sign_as_full,same_nonsignificant_5pct_decision_as_full,knowledge_degree_in_h2_sample,infrastructure_degree_in_h2_sample,fractional_ai_output_2021_2025,member_asns,coef_infrastructure,coef_shared_rec_count,coef_contiguous_border,coef_log_distance_capital_km,coef_common_official_language,coef_log_gdp_geometric_mean,coef_log_member_asn_geometric_mean,absolute_delta_standardized_effect,influence_rank
ZA,South Africa,37,666,0.0110228303292568,0.01593762209798082,0.02737817030147103,0.4026138418996007,0.6623337666233376,-0.017516660720114013,-0.02573040472030492,1,1,27,34,1902.538283882895,635,0.0110228303292568,-0.04847508090290731,0.26651130859528327,-0.17031164133739252,0.35642235001973255,0.0981846744786467,-0.019498863256859348,0.02573040472030492,1
MU,Mauritius,37,666,0.01680854115051486,0.024531546484661815,0.027119972980429945,0.6197845832163653,0.49305069493050696,-0.011730949898855952,-0.017136480333623926,1,1,4,32,88.13571428571426,21,0.01680854115051486,-0.05291965961330128,0.28192687144803197,-0.15935631819959487,0.37043101379607135,0.10886775407182167,-0.0200725103612936,0.017136480333623926,2
EG,Egypt,37,666,0.03738330927901559,0.05443546146114936,0.027412572655253018,1.3637285981566527,0.1498850114988501,0.008843818229644779,0.012767434642863618,1,1,19,31,3723.556252877528,38,0.03738330927901559,-0.07476641821023691,0.2676419521012015,-0.18032044326800187,0.3436311575784372,0.08892125492116154,-0.02653844191932471,0.012767434642863618,3
NG,Nigeria,37,666,0.020973250035774577,0.03014704877067994,0.027407595244870648,0.7652349594479558,0.37896210378962103,-0.007566241013596237,-0.011520978047605802,1,1,27,33,2666.793105727726,153,0.020973250035774577,-0.05050592925869982,0.26257639290963375,-0.17239419871546385,0.353596703581132,0.10211160248857046,-0.01681665268980765,0.011520978047605802,4
BF,Burkina Faso,37,666,0.034566938223136,0.05114233969209715,0.026924884664418426,1.2838286460263522,0.16818318168183183,0.006027447173765188,0.00947431287381141,1,1,13,32,59.53333333333333,16,0.034566938223136,-0.03849257919918597,0.28181728607145723,-0.16215457770327885,0.34453470138454145,0.11072038452526109,-0.03254599551178787,0.00947431287381141,5
GH,Ghana,37,666,0.034274257602745606,0.050724855000786336,0.026539640898065885,1.291436373777137,0.17078292170782922,0.005734766553374793,0.009056828182500594,1,1,21,32,479.2877747252742,39,0.034274257602745606,-0.046336058681754305,0.28272934310408077,-0.15885272343394555,0.3601585223528999,0.10466202705680017,-0.02892549925438586,0.009056828182500594,6
LS,Lesotho,37,666,0.025014109963125558,0.035955546998389834,0.027935825005483063,0.8954133252988216,0.33626637336266374,-0.003525381086245255,-0.005712479819895908,1,1,4,1,5.033333333333333,3,0.025014109963125558,-0.04189087828266638,0.2635118506033354,-0.16077218626886638,0.369050398513292,0.1001638267583613,-0.014537673847259652,0.005712479819895908,7
SN,Senegal,37,666,0.03202609693934827,0.04702456120053931,0.02702295761843601,1.1851440316621353,0.19968003199680032,0.0034866058899774566,0.005356534382253565,1,1,11,31,103.99444444444444,5,0.03202609693934827,-0.05534762394883316,0.32971298810540633,-0.16920485170439165,0.3356554550514076,0.1063679314434662,-0.025486377214023595,0.005356534382253565,8
CI,Cote d'Ivoire,37,666,0.03184419502293373,0.04697675249562328,0.026990124896738896,1.1798461527972155,0.20027997200279973,0.003304703973562917,0.0053087256773375405,1,1,13,31,45.99285714285714,14,0.03184419502293373,-0.0564947194240461,0.30828503791396333,-0.16137078873758343,0.347149189002089,0.10967100859822221,-0.026361357849070774,0.0053087256773375405,9
MZ,Mozambique,37,666,0.031676020436293945,0.046496079453507984,0.026833571247907057,1.180462344860809,0.21177882211778823,0.0031365293869231314,0.004828052635222242,1,1,6,31,42.07619047619048,18,0.031676020436293945,-0.031558898611669134,0.24614882421832768,-0.16917854194295762,0.37315757417118883,0.10532000245172894,-0.015483831475863514,0.004828052635222242,10
