model_order,model_id,model_label,model_role,design_dimension,n_countries,n_dyads,coefficient,standard_error_ols,standardized_estimate,t_observed,permutation_p_two_sided_plus1
1,primary_gdp_end2025,Primary: GDP through end-2025,primary,Registered Primary,38,703,0.028539491049370896,0.02653256798649627,0.04166802681828586,1.075639985692152,0.256974302569743
2,population_replaces_gdp,Population replaces GDP,sensitivity,Macro scale control,38,703,0.03431502167109993,0.026525682049936165,0.05010037637980129,1.2936527553372565,0.1720827917208279
3,rec_start2021,REC membership at start-2021,sensitivity,Institutional timing,38,703,0.02891946005719112,0.026519790075946615,0.04222278649429345,1.0904860096694733,0.23947605239476052
4,infra_jaccard,Jaccard infrastructure weight,sensitivity,Infrastructure normalization,38,703,0.020399342413658567,0.02457014221991422,0.02978330430971221,0.8302492607114338,0.43375662433756623
5,infra_cosine,Cosine infrastructure weight,sensitivity,Infrastructure normalization,38,703,0.0039023796652523646,0.024368972935923494,0.0056975248880779625,0.16013722348961518,0.8822117788221178
6,infra_raw_shared_asn,Raw shared-ASN count,sensitivity,Infrastructure edge weight,38,703,0.02837535439721056,0.030290112261909762,0.04142838517883794,0.9367860426484111,0.3194680531946805
7,exclude_asns_ge25pct,Exclude ASNs in >=25% of countries,sensitivity,ASN ubiquity exclusion,38,703,0.027162835366866922,0.026103885839304418,0.03965809167967778,1.0405667391468612,0.2598740125987401
8,exclude_asns_ge50pct,Exclude ASNs in >=50% of countries,sensitivity,ASN ubiquity exclusion,38,703,0.027899175813878546,0.02638060490514731,0.04073315827565848,1.0575639153913008,0.2576742325767423
9,population_weighted_distance,Population-weighted distance,sensitivity,Distance definition,38,703,0.02981888423764456,0.02665510354466335,0.04353595745474668,1.1186932434038372,0.23447655234476553
10,exclude_ambiguous_ixps,Exclude ambiguous IXPs,sensitivity,Facility-geography rule,37,666,0.02906257544275248,0.027636350246424777,0.04197137341353641,1.0516068577656057,0.2638736126387361
11,continental_zero_lower_bound,Continental zero lower-bound,sensitivity,Coverage lower bound,47,1081,0.018859465902156453,0.019829723987258026,0.02827088593731225,0.9510705199061252,0.31796820317968205
